Date,Time,CrashCiudad,CrashPais,Operator,Flight #,OrigenCiudad,DestinoCiudad,Type,Registration,Cn_ln,Aboard,Fatalities,Ground,CrashLatitud,CrashLongitud,DestinoLatitud,DestinoLongitud,OrigenLatitud,OrigenLongitud,Summary
6/14/1950,21:55, Bahrain,,Air France,,Cayenne,Havana,Douglas DC-4-1009,F-BBDM,42990,53,40,0,261.551.249,505.344.606,231.379.911,-823.658.562,49.371.143,-523.258.307,
12/06/1950,21:52, Bahrain,,Air France,,Vientiane,Washington D.C.,Douglas DC-4-1009,F-BBDE,42937,52,46,0,261.551.249,505.344.606,388.949.549,-770.366.456,179.640.988,1.026.133.707,
09/01/2007,12:00, Balad Air Base, Iraq,Moldovan Aeriantur-M Air Cargo,,Beni,Buenaventura,Antonov 26B-100,ER-26068,11308,35,34,0,NaN, NaN,401.766.024,-48.498.756,10.462.767,1.039.857,Stalled at low altitiude on approach to land
11/30/1955,22:00, Ballico, California,Military - U.S. Air Force,,Manokwari,Port Harcourt,Boeing RB-52B,52-8716,,10,10,0,374.543.809,-1.207.060.337,47.676.576,70.188.527,-0.8571545,1.340.787.709,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
3/31/1995,09:11, Balotesti, Romania,Transporturile Aeriene Romane (TAROM),371,Bergen,Manila,Airbus A310-324,YR-LCC,450/395,60,60,0,4.473.825.545,226.361.139.786.785,NaN, NaN,603.943.457,53.258.853,Engine failure.
7/24/1971,, Bamako, Mali,Air Ivoire,,Madrid,Winnipeg,Douglas DC-3,6V-AAP,20505,6,6,0,126.500.083,-80.000.014,498.833.343,-971.666.741,NaN, NaN,
07/03/1973,, Ban Hong Sa, Laos,Air America,,Columbus,Seattle,Fairchild C-123,524,20185,4,4,0,18.265.298,988.221.677,476.038.321,-1.223.300.624,NaN, NaN,
10/21/1968,06:00, Ban Me Thuot, South Vietnam,Military - U.S. Air Force,,Medellin,Paris,Douglas C-47D,450934,,23,23,0,126.796.827,1.080.447.368,488.565.056,23.521.334,62.443.382,-75.573.553,Engine failure.
5/26/1991,23:17, Ban Nong Rong, Thailand,Lauda Air,4,Lagos,Bishop,Boeing B-767-3Z9ER,OE-LAV,24628/283,223,223,0,346.893.177,135.486.284.049.271,373.650.412,-1.183.946.477,200.171.109,103.378.253,A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree  killing the flight engineer.
05/05/1983,10:20, Ban Ta Khli, Thailand,Military - Royal Thai Air Force,,Mokmer,Picton,Fairchild C-123K,L4K-12/18,20227,30,30,0,NaN, NaN,532.366.099,-28.467.669,-11.618.089,1.361.336.693,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
7/27/1963,01:50, Bandra, India,United Arab Airlines,869,Churchhill,Bluefields,de Havilland Comet 4C,SU-ALD,6441,63,63,0,190.549.792,728.402.203,120.130.526,-837.649.647,511.578.476,-4.121.371,Engine failure.
01/01/1978,20:15, Bandra, India,Air India,855,Newark,Naples,Boeing B-747-237B,VT-EBD,19959/124,213,213,0,190.549.792,728.402.203,408.441.164,142.422.998,40.735.657,-741.723.667,Broken wing strut.
3/29/1959,, Banga, Central African Republic,Union Aeromaritime de Transport,,N'Djamena,Lobito,Nord 2501 Noratlas,F-BGZB,2,9,9,0,1.160.317.025,122.333.317.428.294,-123.506.867,135.464.318,121.191.543,150.502.758,Went into a tailspin and crashed into a corn field
2/14/1990,13:03, Bangalore, India,Indian Airlines,605,Tonopath,Boda,Airbus A320-231,VT-EPN,79,146,92,0,129.791.703,775.912.429,513.993.095,-83.402.695.314.925,NaN, NaN,
3/25/1991,08:15, Bangalore, India,Military - Indian Air Force,,Wellington,Barranquilla,Hindustan Aeronautics 748-2,,,28,28,0,129.791.703,775.912.429,10.979.932,-747.957.384,-412.887.639,1.747.772.239,
7/19/1962,15:45, Bangkok, Thailand,United Arab Airlines,869,Managua,La Macarene,de Havilland Comet 4C,SU-AMW,6464,26,26,0,135.859.219,100.416.086.601.645,NaN, NaN,121.461.244,-86.273.717,
12/25/1976,03:45, Bangkok, Thailand,EgyptAir,864,Athens,Bogota,Boeing B-707-366C,SU-AXA,20763,53,53,19,135.859.219,100.416.086.601.645,NaN, NaN,339.595.974,-83.376.678,
04/09/1967,, Bao Loc, Vietnam,Military - U.S. Air Force,,Nova Lisboa,Quito,Fairchild C-123K,54-0621,20070,11,11,0,510.432.015,136.784.186,-0.2201687,-785.120.913,-127.765.392,157.320.468,
5/21/1955,, Barcelona, Venezuela,Linea Aeropostal Venezolana,,Dzhida,Miami,Douglas C-47-DL,YV-C-ALU,4791,13,4,0,413.825.596,21.771.353,257.742.658,-801.936.589,504.478.895,1.042.442.704,
8/19/1959,, Barcelona, Spain,Transair,,Bogota,Bogota,Douglas DC-3,G-AMZD,16112/3286,32,32,0,NaN, NaN,NaN, NaN,45.980.478,-740.760.867,
01/09/1953,, Barcelonnette, France,Air France,,Bogota,Ibague,Lockheed 749A Constellation,F-BAZZ,2674,42,42,0,443.862.043,66.513.554,44.435.487,-752.411.321,45.980.478,-740.760.867,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
6/23/1949,, Bari, Italy,KLM Royal Dutch Airlines,,Barranquilla,Colorado Springs,Lockheed 749-79-33 Constellation,PH-TER,2541,33,33,0,NaN, NaN,388.339.578,-1.048.253.485,10.979.932,-747.957.384,
11/21/1977,10:00, Bariloche, Argentina,Austral Lineas Aeras (Argentina),,Bogota,Chennai,BAC One-Eleven 420EL,LV-JGY,155,79,46,0,-411.334.672,-713.099.936,130.796.914,802.829.533,45.980.478,-740.760.867,
3/16/1975,13:40, Barito, Argentina,Military - Argentine Air Force,,Bogota,Bombay,Fokker F-27 Friendship 400M,TC-72,10404,55,55,0,-0.5687364,1.170.984.341,189.523.804,728.327.112,45.980.478,-740.760.867,
01/03/2003,14:25, Barki, Russia,Private - Kabanov - skydiving,-,Manaus,San Vicente del Caguan,Let L-410UVP,FLARF-01032,831109,25,11,0,512.538.239,230.920.844,21.133.577,-747.719.119,-31.328.619,-599.865.291,
04/04/1933,12:30, Barnegat, New Jersey,Military - U.S. Navy,,Bogota,Mogadishu,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,,76,73,0,397.531.754,-742.229.179,20.427.779,453.385.636,45.980.478,-740.760.867,
06/07/1960,14:30, Barnegat City, New Jersey,Military - U.S. Navy,,Boise,Detroit,Goodyear ZPG-3W (airship),144242,,21,18,0,375.349.982,-1.222.448.996,423.486.635,-830.567.375,43.615.046,-1.162.044.429,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
02/11/1947,, Barrio Rizal, Philippines,Philippine Air Express,,Mumbai,Branson,Douglas DC-3,,,5,5,0,145.654.346,1.211.913.025,NaN, NaN,189.523.804,728.327.112,
08/11/1997,08:08, Barrow, Alaska,Hageland Aviation Services,500,Delhi,Brasilia,Cessna 208B Caravan I,N750GC,208B-0504,8,8,0,339.848.611,-836.996.482,-103.333.333,-53.2,286.572.914,772.272.603,The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell  tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.
02/01/1987,16:30, Bata, Equatorial Guinea,Military - Spanish Air Force.,,Neiva,Praha,CASA 212-100,T-12B-32,65,22,22,0,460.170.337,220.372.925,NaN, NaN,30.332.673,-752.794.422.959.783,
1/28/1970,, Batagai, Russia,Aeroflot,,Hargeisa,Petropavlovsk,Antonov AN-24,CCCP-47701,59900202,34,34,0,676.549.095,1.346.350.713,548.668.104,691.334.984,95.537.463,440.572.714,"Following the conclusion of an aerial tour carrying Sir John Salmond  the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills, the aircraft crashed and caught fire."
04/10/1988,23:00, Batagay, Russia,Aeroflot,,Washington,Kinshasa,Antonov 12BP,CCCP-11418,401712,6,6,0,676.549.095,1.346.350.713,-43.217.055,153.125.974,388.949.549,-770.366.456,
05/02/1969,11:45, Batan Islands, Philippines,Military - U.S. Air Force,,Saint Louis,Brest,Lockheed C-130H,65-0990,4151,14,13,0,20.424.138,1.218.382.904,483.905.283,-44.860.088,16.187.637,-152.954.315,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
01/10/1938,, Bathurst, Gambia,Deutsche Lufthansa,,Rio de Janeiro,Bridgetown,Dornier DO.18,,,4,4,0,47.625.811,-656.525.135,131.018.264,-59.618.848,-229.110.137,-432.093.727,
1/26/1960,00:15, Bathurst Island, Australia,Transportes AÇ¸reos de Timor,,Bratislava,Kingston,de Havilland DH-114 Heron 2D,CR-TAI,14132,9,9,0,-160.361.199,123.529.463.095.238,179.712.148,-767.928.128,481.359.085,171.597.440.625,Crashed in fog.
7/15/1975,, Batumi, Georgia,Aeroflot,,Krasnoyarsk,Bronnoysund,Yakovlev YAK-40,CCCP-87475,9442037,41,41,0,416.509.502,416.360.085,654.737.042,122.111.915,560.082.556,928.702.365,Pilot error.
10/25/2000,18:15, Batumi, Republiof Georgia,Military - Russian Air Force,,Boende,Wrangell,Ilyushin IL-18D,RA-74295,187010602,86,86,0,416.509.502,416.360.085,NaN, NaN,-0.2836634,208.826.368,Engine failure.
04/04/1992,, Baykovo, Russia,Kamchatavia,,Bremerton,Wrangell,Let 410UVP,CCCP-67130,800326,12,1,0,4.346.039,2.683.786,564.156.225,-13.230.094.523.594,475.223.995,-122.688.106.367.562,
07/12/1999,09:25, Bayombang, Philippines,Asian Spirit,,Nantes,Harmon AFB,Let 410UVP,RP-C-3883,851429,17,17,0,12.304.151,121.170.313,NaN, NaN,472.185.155,-1.560.235,The mail plane flew into tornado like winds and crashed to the ground.
6/25/1968,07:30, Bearcat, South Vietnam,Military - U.S. Army,,Union Island,Brussels,Bell UH-1H / Bell UH-1H / Bell UH-1H,,,29,29,0,297.284.446,-986.907.741,5.084.404.145,436.720.169.448.285,378.457.599,-1.214.585.588,
3/30/1929,09:18, Beaumont, California,New Standard Airlines,,Bridgetown,Lagos,Fokker F-VIIA,NC7888,617,4,4,0,300.860.459,-941.018.461,NaN, NaN,131.018.264,-59.618.848,Crashed to the ground shortly after taking off killing two men and two women.
05/10/1930,02:05, Beauvais, France,Military - British Air Ministry,,Namsos,Niamey,Royal Airship Works R-101,G-FAAW,R-101,54,48,0,494.409.001,20.866.699,134.998.139,210.948.597.212.168,644.858.834,114.133.476.154.981,The plane crashed into the Waalhaven harbor.
12/07/2004,07:15, Beef Island, British Virgin Islands,Dodita Air Cargo,,Bronson,Mendoza,Convair CV-440,N4826C,391,2,1,0,461.442.852,-837.990.723,-328.897.294,-688.442.956,401.150.358,-878.053.049,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
9/30/1975,, Beirut, Lebanon,Malev Hungarian Airlines,,Bronson Creek,Cali,Tupolev TU-154B,HA-LCI,53,60,60,0,338.959.203,3.547.843,NaN, NaN,455.323.964,-1.228.672.561,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.
2/27/1948,, Belem, Brazil,Military - Brazilian Air Force,,McGuire AFB,Cali,Douglas C-47,C-47-2040,,26,23,0,31.710.799,351.988.002,NaN, NaN,400.425.795,-745.842.472.263.889,
1/18/1979,, Belgorod, Russia,Aeroflot,,New York City,Bugulma,Let 410M,CCCP-67210,760513,3,3,0,NaN, NaN,545.384.152,527.955.953,NaN, NaN,The mail plane crashed and burned during the night.
10/19/1964,11:35, Belgrade, Yugoslavia,Military - Soviet Air Force,,Douala,Goma,Ilyushin IL-18,,,33,33,0,448.178.787,204.568.089,-16.665.893,292.256.875,405.372.875,966.430.682.570.031,
10/19/1990,15:25, Bella Vista, Bolivia,BAFIN,,Douala,Malta,Douglas C-47B-40-DK,CP-735,15805/33553,4,4,0,-464.090.626,-676.828.551.727.567,275.015.719,852.451.666,405.372.875,966.430.682.570.031,
08/12/1995,18:00, Belle Anse, Haiti,Air St. Martin,,Buenos Aires,,Beechcraft 1900D,F-OHRK,UE-119,20,20,0,182.383.019,-720.661.883,NaN, NaN,-34.612.869,-584.459.789,Weather related.
10/22/1978,, Bellona, Solomon Islands,Solomon Islands Airlines,,Miami,El Estor,Britten Norman BN-2A Trislander,H4-AAC,613,11,11,0,41.160.016,14.232.326,154.718.499,-895.124.777.101.224,257.742.658,-801.936.589,
2/20/1942,, Belmont, Australia,Qantas,,Florencia,Puerto Princesa,deHavilland DH-86,VH-USE,2309,9,9,0,484.095.731,72.348.771,97.376.025,1.187.350.414,437.698.712,112.555.757,The mail plane crashed in a heavy snow storm.
11/01/1991,, Belo Horizonte, Brazil,Belair - Air Taxi,,Nizhnevartovsk,Hicks Island,Learjet 25C,PT-KKV,25-172,5,5,0,-199.227.318,-439.450.948,287.810.979,-822.723.134,609.340.439,7.658.037,The mail plane crashed in a heavy snow storm
9/24/1972,, Ben Cat, South Vietnam,Air Vietnam (South Vietnam),,Kisangani,Cairo,Douglas C-54D-1-DC,XV-NUH,10588,13,10,0,111.532.135,1.065.903.206,300.488.185,312.436.663,0.5184021,252.057.292,The mail plane crashed in a snow storm.
11/10/1985,, Beni, Bolivia,Sabeni,,Nice,Alexandia,Curtiss C-46D,CP-1593,32936,2,2,0,10.462.767,1.039.857,NaN, NaN,437.009.358,72.683.912,
9/15/1989,, Bentuni, Indonesia,Merpati Nusantara Airlines,,Perth,Paris,de Havilland Canada DHC-6 Twin Otter 300,PK-NUE,345,22,22,0,NaN, NaN,488.565.056,23.521.334,-319.527.121,1.158.604.796,The mail plane crashed into an apple tree during a snow storm.
6/26/1978,, Bergen, Norway,Helikopter Service,,Guatemala City,Beirut,Sikorsky S-61N,LN-OQS,,18,18,0,603.943.457,53.258.853,338.959.203,3.547.843,146.417.889,-905.132.239,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
12/19/1929,, Berlin, Germany,Deutsche Lufthansa,,Cagayancillo,Calabar,Arado V1,D-1594,,3,2,0,525.170.365,133.888.599,49.795.999,83.373.597,968.441.895,121.191.261.036.286,Crashed into high ground in fog.
05/04/1948,, Berlin, Germany,British European Airways / Military - Soviet Air Force,,Cairns,Calabar,Vickers Viking 1B & Soviet YAK-3 fighter,G-AIVP,229,15,15,0,525.170.365,133.888.599,49.795.999,83.373.597,-169.204.963,1.457.719.011,While attempting to make an emergency landing on the Minam river the plane hit a bolder
06/12/1952,04:40, Bermuda-Kindley Field, Bermuda,Cubana de Aviacion,,Ramstein AB,Calabozo,Douglas DC-4,CU-T397,10319,41,37,0,323.657.106,-647.010.453,NaN, NaN,4.944.094.805,760.207.952.354.681,
01/12/1974,11:10, Berryville, Virginia,Trans World Airlines,514,Cairo,Siagon,Boeing B-727-231,N54328,20306/791,92,92,0,NaN, NaN,351.404.281,-9.001.646,300.488.185,312.436.663,
1/21/1972,10:30, Betania, Colombia,SATENA,,Saigon,Seville,Douglas C-47,FAC-661,,39,39,0,573.408.585,-759.820.516.340.124,373.886.303,-59.953.171,107.758.439,1.067.017.555,
03/03/2008,16:00, Bethani, Nepal,United Nations Mission,,Cairo,Campbeltown,Mi-17,,,10,10,0,-255.552.778,276.086.111,554.282.582,-56.029.617,300.488.185,312.436.663,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.
11/26/1977,02:30, Beziers, France,Military - French Air Force,,Enugu,Fort George,Nord 2501 Noratlas,182,,34,34,0,43.341.279,32.166.203,NaN, NaN,64.499.833,75.000.007,The mail plane crashed en route during a storm.
12/22/1984,, Bhojpur, Nepal,Royal Nepal Airlines,,Port Harcourt,Buffalo,de Havilland Canada DHC-6 Twin Otter 300,9N-ABH,376,23,15,0,254.578.977,845.557.324.212.568,428.864.468,-788.783.689,47.676.576,70.188.527,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'
9/28/1968,, Biafra, Nigeria,Pan African Airlines,,Maiquetia,Hamberg,Douglas C-54B,N90427,10445,57,57,1,53.134.385,-40.048.374,535.437.641,100.099.133,105.941.608,-669.554.841,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
7/16/1957,03:36, Biak, Indonesia,KLM Royal Dutch Airlines,844,Cam Ranh Bay AB,Canberra,Lockheed 1049C Super Constellation,PH-LKT,4504,68,58,0,-0.9131174,1.228.765.606,-352.819.367,149.128.894,NaN, NaN,The aircraft crashed into a high mountain ridge  exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass  the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.
8/21/1949,23:30, Bigstone Lake, Manitoba,Military - Royal Canadian Air Force,,Barcelona,Cozumel,Consolidated Canso (amphibian),11057,,21,21,0,5.506.836.885,-105.394.532.117.295,204.488.829,-869.121.241,413.825.596,21.771.353,The mail plane crashed in dense fog.
08/12/1945,, Billings, Montana,Military - U.S. Army,,Glasgow,Miami,Douglas C-47,,,21,17,0,457.874.957,-10.849.607,NaN, NaN,55.861.147,-42.499.891,A midair collision occurred  with a US Air Force Boeing PW-9D at 2 000 ft.  Five killed on the Tri-motor  one on the Boeing. Army pilot Lieutenant Howard Keefer  while flying above the airliner  was stunting and performed a steep banking turn downward  in an attempt to pass in front of the airliner. Instead  he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.
9/19/1989,14:00, Bilma, Niger,Union des Transportes Aeriens,772,Aldergrove AB,Nice,McDonnell Douglas DC-10-30,N54629,46852/125,171,171,0,186.929.297,129.187.204,NaN, NaN,567.100.611,-1.113.704.203,
1/25/1966,10:15, Binh Khe, South Vietnam,Military - U.S. Air Force,,Sighteeing,Portland,Fairchild C-123B,54-0702,20151,46,46,0,25.025.797,121.739.144,455.202.471,-1.226.741.949,NaN, NaN,
7/14/1992,, Bir Fadl, Yemen,Military - Unified Yemen Air Force,,Albany,Puerto Ayancucho,Antonov An-12,,,57,57,0,NaN, NaN,NaN, NaN,426.511.674,-73.754.968,
11/25/1975,18:50, Bir Lahfan, Egypt,Military - Israel  Air Force,,Las Palmas,Cumana,Lockheed C-130 Hercules,11,,20,20,0,NaN, NaN,104.642.386,-641.724.782,279.580.004,-156.062.453.856.975,The mail plane caught fire after crash landing.
12/02/1999,10:30, Bishop, California,Ameriflight,,Melbourne,Maiquetia,Beechcraft C99,N205RA,U-205,1,1,0,373.650.412,-1.183.946.477,105.941.608,-669.554.841,-378.142.176,1.449.631.608,Crashed in heavy rain and fog while attempting to land.
1/29/1996,16:26, Blenheim, New Zealand,Soundsair,,Chichen Itza,Pointe a Pitre,Cessna 208 Caravan I,ZK-SFA,20800051,6,5,0,-415.154.337,1.739.602.367,162.408.636,-615.334.077,2.068.285.195,-885.687.195.355.205,
7/20/1999,11:00, Bluefields, Nicaragua,La Costena,46,Chicago,Caracas,Cessna 208B Grand Caravan,YN-CED,208B-0341,16,16,0,120.130.526,-837.649.647,10.506.098,-669.146.017,418.755.546,-876.244.212,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'
09/11/1945,20:00, Boccadi, Italy,Military - U.S. Army Air Forces,,Ajaccio,Dublin,Douglas C-47A-DL,42-24363,10225,24,24,0,NaN, NaN,533.497.645,-62.602.732,419.263.991,87.376.029,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
7/18/1950,, Bocoio, Angola,DTA Angola Airlines,,San Diego,Palermo,Douglas DC-3,CR-LBK,13769,9,9,0,-124.690.414,141.370.622,3.811.127,133.534.422,327.174.209,-1.171.627.714,The aircraft crashed into lake Constance while attempting to landing.
05/08/1994,08:50, Boda, Russia,Military - Russian Air Force,,Caracas,New York City,Antonov AN-12,,,47,47,0,513.993.095,-83.402.695.314.925,407.305.991,-739.865.812,10.506.098,-669.146.017,
12/15/1948,, Bogata, Colombia,LANSA,,Caracas,Lima,Douglas C-47,C-310,13807,30,30,0,442.068.165,271.167.040.215.675,-12.0,-76.833.333,10.506.098,-669.146.017,
2/15/1947,12:18, Bogota, Colombia,AVIANCA,,San Antonio,Gulfport,Douglas DC-4,C-114,10439,53,53,0,45.980.478,-740.760.867,303.674.198,-890.928.155,294.246.002,-984.951.405,Weather related.
8/13/1949,, Bogota, Colombia,SAETA,,Caracas,Crespo,Douglas C-47,HK-1200,,32,32,0,45.980.478,-740.760.867,1.044.734.055,-755.176.766.578.707,10.506.098,-669.146.017,
1/15/1976,, Bogota, Colombia,Taxi Aereo el Venado,,New York City,Cartagena,Douglas C-54A,HK-172,10280,13,13,0,45.980.478,-740.760.867,104.236.044,-75.524.172,407.305.991,-739.865.812,Crashed into the Mediterranean.
3/23/1994,, Bogota, Colombia,Orion - Air Taxi,,Llandow,Oran,Cessna 650 Citation VI,PT-OMV,650-0200,4,4,0,45.980.478,-740.760.867,357.032.751,-0.6492976,51.449.005,-35.222.606,The mail plane crashed into Mt. Lamentation and burst into flames.
4/20/1998,16:47, Bogota, Colombia,Air France,422,Rome,Leopoldville,Boeing B-727-230,HC-BSU,21622/1431,53,53,0,45.980.478,-740.760.867,-43.217.055,153.125.974,418.933.439,124.830.718,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
07/07/2008,03:50, Bogota, Colombia,Centurian Air Cargo,,Rio de Janeiro,Barcelona,Boeing B-747-209BSF,N714CK,22446/519,8,0,3,45.980.478,-740.760.867,413.825.596,21.771.353,-229.110.137,-432.093.727,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
7/24/1938,13:00, Bogota Colombia,,Military - Colombian Army,,Jananjui,Manila,Curtiss-Wright Hawk,,,1,1,52,45.980.478,-740.760.867,145.906.216,1.209.799.696,NaN, NaN,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.'
5/13/1995,, Boise, Idaho,Military - U.S. Air Force,,Atlanta,San Francisco,Lockheed C-130E Hercules,62-1838,3801,6,6,0,NaN, NaN,377.792.768,-1.224.192.704,337.490.987,-843.901.849,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
12/18/1954,, Bolivar, Venezuela,Linea Aeropostal Venezolana,,Bogata,Memphis,Douglas C-47A,YV-C-AMP,19292,2,2,0,337.702.263,-908.519.798,351.490.215,-900.516.285,442.068.165,271.167.040.215.675,The air taxi crashed into Puget Sound as it attempted to take off.
12/07/1949,03:50, Bombay, India,KLM Royal Dutch Airlines,,San Andres Island,Salt Lake City,Lockheed L-749-79-33 Constellation,PH-TDF,2558,45,45,0,189.523.804,728.327.112,407.670.126,-1.118.904.308,139.365.213,1.217.961.271,
5/28/1968,, Bombay, India,Garuda Indonesia Airlines,,Marseille,Ciddah,Convair CV-990-30A-5,PK-GJA,30/10/2003,29,29,1,189.523.804,728.327.112,NaN, NaN,432.961.743,53.699.525,Crashed into the Mediterranean in fog.
10/13/1976,01:37, Bombay, India,Indian Airlines,,Lisbon,Chachapoyas,Sud-Aviation Caravelle VI-N,VT-DWN,231,95,95,0,189.523.804,728.327.112,-63.404.357,-77.803.158,387.130.574,-91.380.056,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.
11/11/1992,, Bombay, India,Military - Indian Air Force,,Training,Cazombo,Mil Mi-8 (helicopter),,,20,20,0,189.523.804,728.327.112,-118.921.052,229.001.014,3.774.919.975,-12.239.968.795,
08/11/1965,12:25, Boqueron, Colombia,Aerolineas TAO,,Zaragoza,Mobile,Douglas C-47DL,HK-1202,4402,30,30,0,-219.859.478,-612.552.984.017.188,NaN, NaN,416.521.342,-0.8809428,Forced landing 40 miles from Berlin.
6/28/1989,09:30, Borana, Somalia,Somali Airlines,,Cebu,Kunming,Fokker F-27 Friendship 600RF,6O-SAZ,10559,30,30,0,276.449.988,721.260.621,250.515.153,1.027.017.638,10.45,123.84,Crashed on approach onto a golf course.
2/28/1984,19:30, Borja, Spain,Military - U.S. Air Force,,Denver,Jersey,Lockheed C-130E,68-10944,4324,18,18,0,NaN, NaN,492.214.561,-21.358.386,397.391.536,-1.049.847.034,
11/13/1947,, Bouchox, France,SociÇ¸tÇ¸ Auxiliare de Navigation AÇ¸rienne,,Nashville,Lima,Junkers Ju-52/3m,F-BDYH,AAC401,2,2,0,NaN, NaN,-12.0,-76.833.333,361.622.296,-867.743.531,While en route to Los Angeles  the pilot  flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill  crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.
11/14/1925,, Boulogne-sur-Mer, France,Air Union,,Oakland,La Paz,Farman F-60 Goliath,F-AMFY,,2,2,0,507.259.985,16.118.771,-16.495.647,-68.133.542,378.044.557,-1.222.713.563,
5/20/1948,, Bovingdon, England,Air Transport Charter,,Adana,Kabul,Douglas C-47A,G-AJBG,14003/25448,4,3,0,NaN, NaN,345.197.058,691.624.302,370.033.484,353.263.252,While preparing to land  the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed  a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines  began removing all evidence of the accident  savagely fighting off reporters and photographers as they worked.
06/01/1969,20:35, Bradford, Pennsylvania,Allegheny Airlines,737,Chiclayo,New Delhi,Convair CV-580,N5825,386,28,11,0,537.941.567,-17.494.778,286.138.967,772.159.562,-6.766.667,-79.85,While attempting to land the plane struck a building and fell into the Connecticut river.
09/12/1999,15:12, Branson, Missouri,College of the Ozarks,,Luena,Charleston,Cessna 525 Citation,N525KL,525-0136,6,6,0,366.440.399,-93.217.133,383.498.221,-816.326.301,4.311.175.845,-390.703.828.386.426,Crashed into power lines 150 feet above the ground in fog.
12/22/1962,, Brasilia, Brazil,Varig,,New Orleans,Chicago,Convair CV-240-2,PP-VCQ,103,40,1,0,-103.333.333,-53.2,418.755.546,-876.244.212,299.499.323,-900.701.156,Crashed into Boston Harbor after loosing the right  engine on takeoff.
11/24/1966,16:30, Bratislava, Czechoslovakia,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,101,Chungking,Perm,Ilyushin IL-18B,LZ-BEN,184007101/356,82,82,0,481.359.085,171.597.440.625,580.149.643,562.467.244,2.229.636.555,114.172.853.883.343,The airship was on its inaugural flight from Cardington  England to Karachi  (Pakistan). During a storm on the first night  it suddenly nosedived  leveled briefly  then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain  the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose  but only because there was also dynamilift  which was promptly lost as speed was reduced  presumably to save the remaining gasbags.
2/29/1968,, Bratsk, Russia,Aeroflot,,Guernsey,Merida,Ilyushin IL-18D,CCCP-74252,187010601,82,82,0,561.632.985,1.016.112.811,389.174.665,-63.443.977,4.946.229.125,-258.120.210.032.944,Crashed into hill while attempting to land.
09/09/2005,15:45, Brazzaville, Congo,Air Kasai,,Santiago,Cheyenne,Antonov AN-26A,9Q-CFD,37312901,14,14,0,-42.694.407,152.712.256,411.399.814,-1.048.202.462,-334.377.968,-706.504.451,The flying boat landed in a storm in the open ocean due to engine failure. After three hours  the plane was  capsized by a large wave.
10/31/1929,, Bremerton, Washington,Bremerton-Seattle Air Taxi / Gorst Air Lines,,Arica,Washington D.C.,Loening C-2C,,,2,2,0,475.223.995,-122.688.106.367.562,NaN, NaN,-184.784.237,-703.211.626,Crashed into the sea.
